site_number,nitrate,GPM,state
392116079181601,,,MD
392122076545001,,,MD
392122077035201,,,MD
392128077393401,,,MD
392129076582701,,,MD
392130077414401,,,MD
392134077441401,,,MD
392136077415901,,,MD
392142077375101,,,MD
392148077254901,,,MD
392150076492301,16,,MD
392203079172401,,,MD
392206077402401,,,MD
392208077062001,,,MD
392212076035501,5.5,,MD
392216077124001,,,MD
392216079175601,,,MD
392228077410301,,,MD
392232077393401,,,MD
392232077393402,,,MD
392238077440601,,,MD
392243077250201,,,MD
392249077254001,,,MD
392249077254201,,,MD
392250077392801,,,MD
392250077394601,,,MD
392303079161101,,,MD
392305077393301,,,MD
392314077282701,,,MD
392315077282701,,,MD
392316077282801,,,MD
392328079154501,,,MD
392335077312301,,,MD
392348077440401,,,MD
392359077390901,,,MD
392403077105201,,,MD
392405077392301,,,MD
392416077262901,,,MD
392416077262902,,,MD
392432077395201,,,MD
392432077430601,,,MD
392436077391201,,,MD
392445076170801,,,MD
392446077413001,,,MD
392448077435701,,,MD
392449077245401,,,MD
392449077434101,,,MD
392449077434201,,,MD
392454077154901,,,MD
392457077343001,,,MD
392457077412701,,,MD
392511076351001,2.9,,MD
392513077104901,,,MD
392516077313401,,,MD
392517077294903,,,MD
392518077295801,,,MD
392527077401701,,,MD
392543077432801,,,MD
392544077452601,,,MD
392548077331601,,,MD
392549077175001,,,MD
392551077455301,,,MD
392552077262201,5.3,,MD
392553077262601,4.74,,MD
392553077462301,,,MD
392556077263301,4.97,,MD
392556077455301,,,MD
392557079154701,,,MD
392558077465701,,,MD
392605077262801,5.39,,MD
392610077390101,,,MD
392613079144901,,,MD
392620076440001,0.675,,MD
392623077442601,,,MD
392624077314401,,,MD
392624077405701,,,MD
392628076411701,,,MD
392628076534301,,,MD
392631076304801,,,MD
392641077245601,,,MD
392643077245501,,,MD
392646077432701,,,MD
392647077244801,,,MD
392653077425701,,,MD
392654077294501,,,MD
392700077391101,,,MD
392709076393001,,,MD
392716077085001,,,MD
392719077441501,,,MD
392719077442801,,,MD
392721077202101,,,MD
392721077203001,,,MD
392722077195101,,,MD
392722077245601,,,MD
392722077444101,,,MD
392723077300301,,,MD
392728077445301,,,MD
392730077444701,,,MD
392734077313501,,,MD
392736077195801,,,MD
392737077350702,,,MD
392739077462401,,,MD
392747077374501,,,MD
392752077054501,1.1,,MD
392758077394601,,,MD
392759077410301,,,MD
392810077302501,,,MD
392813077375101,,,MD
392818077065801,0.57,,MD
392819077292901,,,MD
392823077395301,,,MD
392826077393701,,,MD
392827077394501,,,MD
392827077395801,,,MD
392829077245201,,,MD
392829077302501,,,MD
392831077221401,,,MD
392831077383101,,,MD
392832077172201,,,MD
392836077403301,,,MD
392836077442701,8.3,,MD
392837077382001,,,MD
392837077402601,,,MD
392838077253801,,,MD
392839077253501,,,MD
392840077302901,,,MD
392848077124801,,,MD
392851077233101,,,MD
392851077373901,,,MD
392856079092401,,,MD
392904077233901,,,MD
392907077441301,,,MD
392908077201901,,,MD
392914077420101,,,MD
392915077413301,,,MD
392917077420201,,,MD
392923076324901,4,,MD
392927077185101,,,MD
392930077282701,,,MD
392931077481801,,,MD
392933077483201,,,MD
392933077483202,,,MD
392934077482701,,,MD
392934077484201,,,MD
392937077162001,,,MD
392938076380401,,,MD
